season;time;holidays;events;max load (MW)
summer;T1;N;N;59063
summer;T1;N;N;57627
summer;T1;N;N;56508
summer;T2;N;N;55718
summer;T3;N;N;48968
summer;T3;N;N;47945
summer;T1;N;N;55980
summer;T1;N;N;57236
summer;T1;N;N;57289
summer;T1;N;N;57093
summer;T2;N;N;55947
summer;T3;N;N;49940
summer;T3;N;N;47789
summer;T1;N;N;56203
summer;T1;N;N;57433
summer;T1;N;N;57145
summer;T1;Y;N;46715
summer;T2;N;N;50942
summer;T3;N;N;47657
summer;T3;N;N;45947
summer;T1;N;N;54121
summer;T1;N;N;55837
summer;T1;N;N;55956
summer;T1;N;N;55919
summer;T2;N;N;54716
summer;T3;N;N;47676
summer;T3;N;N;45788
summer;T1;N;N;54294
summer;T1;N;N;54374
summer;T1;N;N;54506
summer;T1;N;N;54102
summer;T2;N;N;52592
summer;T3;N;N;46436
summer;T3;N;N;45087
summer;T1;N;N;49930
summer;T1;N;N;50947
summer;T1;N;N;50959
summer;T1;N;N;51201
summer;T2;N;N;51166
summer;T3;N;N;46378
summer;T3;N;N;43861
summer;T1;N;N;48471
summer;T1;N;N;48585
summer;T1;N;N;48534
summer;T1;N;N;49247
summer;T2;N;N;49437
summer;T3;N;N;45097
summer;T3;N;N;43948
summer;T1;Y;N;44590
summer;T1;N;N;49717
summer;T1;N;N;50795
